hand,timestamp,landmark,x,y,z
right,9.4019,8,499.0814,69.4809,-104.2421
right,9.4445,8,494.867,87.9152,-96.6412
right,9.4846,8,490.8393,136.3636,-95.0874
right,9.5253,8,520.5477,149.0396,-94.0909
right,9.7473,8,667.6283,185.8365,-124.885
right,9.7869,8,590.8329,187.0967,-112.2206
right,9.8168,8,563.7384,192.3673,-99.9881
right,9.8479,8,537.1606,201.1412,-96.9845
right,9.8813,8,529.4019,209.4904,-91.1695
right,9.9223,8,533.8032,207.9263,-89.5571
right,9.9629,8,552.2083,204.6117,-98.4245
left,0.9004,8,-66.7233,207.5411,-349.6342
left,0.9345,8,142.6492,234.139,-293.964
left,0.9673,8,278.1968,246.3521,-352.6359
left,1.0334,8,475.7509,202.6268,-532.9224
left,1.0664,8,507.5449,139.106,-376.0746
left,1.0997,8,525.6257,50.231,-491.1059
left,1.133,8,578.7493,-39.3699,-481.0132
left,1.1661,8,633.272,-75.2897,-458.5453
left,1.1997,8,637.308,-47.7248,-331.3679
left,1.2334,8,678.664,-100.2363,-353.238
left,1.2667,8,699.7665,-99.1305,-351.8299
left,1.3002,8,715.8065,-121.6951,-369.2173
left,1.3333,8,734.7526,-84.8634,-343.5036
left,1.3667,8,736.0225,-113.7977,-333.1647
left,1.4003,8,763.2274,-97.6453,-323.3354
left,1.4346,8,826.6666,-49.1871,-265.1101
left,1.4666,8,870.9989,24.7011,-285.1877
left,1.5002,8,940.2911,59.8503,-262.0552
left,1.5335,8,1008.6481,16.1035,-410.6697
left,1.5668,8,965.8852,35.495,-305.8066
left,1.6676,8,629.801,-154.3322,-259.952
left,1.7003,8,613.7375,-149.1068,-265.4608
left,1.7336,8,613.501,-135.066,-254.6127
left,1.8355,8,831.4628,67.6031,-222.3613
left,1.8682,8,909.1337,33.0636,-290.3926
left,1.9022,8,856.818,81.676,-194.4694
left,1.9356,8,827.3414,71.1619,-253.8642
left,2.0686,8,505.8008,-212.8823,-245.5746
left,2.2359,8,939.8192,36.8788,-177.394
left,2.2692,8,951.3128,63.2977,-185.3402
left,2.3027,8,947.0754,32.4321,-179.3946
left,2.3361,8,895.4275,-15.1903,-237.1891
left,2.3692,8,881.6276,-72.0562,-261.6112
left,2.4016,8,818.083,-70.0944,-203.2393
left,2.4347,8,739.9037,-72.0437,-184.8038
left,2.5682,8,831.8968,-32.438,-241.2954
left,2.6016,8,901.1276,37.7412,-195.4889
left,2.6355,8,912.5025,90.682,-213.453
left,2.6685,8,921.6983,130.6629,-211.9163
left,2.7028,8,919.8786,135.6833,-162.8946
left,2.7363,8,900.78,92.4317,-182.8836
left,2.9366,8,227.6092,-232.1291,-267.2838
left,3.1695,8,861.7653,198.263,-135.1005
left,3.203,8,877.8685,211.9708,-152.2283
left,3.2362,8,874.6445,161.9974,-133.6925
left,3.3704,8,462.7498,-89.625,-220.2191
left,3.4711,8,731.1343,271.56,-298.7252
left,3.6375,8,200.4025,-42.7404,-127.3458
left,3.6711,8,185.3159,-64.7575,-106.1351
left,3.7711,8,560.1438,177.4264,-81.1802
left,3.8439,8,477.6862,83.2932,-130.4231
left,3.8759,8,341.1287,39.7284,-157.5248
left,3.9055,8,204.3251,-8.4767,-110.1476
left,3.9449,8,187.5571,-35.24,-118.5577
left,4.0378,8,543.1181,186.5942,-121.6743
left,4.078,8,543.2196,186.5045,-113.3589
left,4.1212,8,491.5773,110.1975,-121.4933
left,4.1494,8,402.2248,50.708,-154.4764
left,4.1802,8,379.7856,23.8491,-134.3316
left,4.2233,8,421.1232,70.0937,-133.8913
left,4.2638,8,446.3467,98.85,-137.2212
left,4.3068,8,440.0897,82.0788,-134.9747
left,4.3456,8,429.4655,72.8914,-130.3743
left,4.3858,8,404.8862,60.7727,-105.6265
left,4.4276,8,369.9581,60.8148,-144.5708
left,4.4699,8,322.3609,75.3929,-235.104
left,4.4993,8,274.3761,164.1457,-204.3517
left,4.53,8,308.9972,321.2257,-290.2876
left,4.561,8,350.8652,440.8722,-365.284
left,4.5916,8,403.0689,571.367,-163.4907
left,4.6402,8,425.4257,681.5744,-112.9556
left,4.6796,8,428.969,741.4592,-99.5908
left,4.72,8,425.1591,749.0434,-74.0417
left,4.7604,8,390.1614,762.1915,-55.0752
left,4.8003,8,389.1331,763.6819,-45.2271
left,4.8424,8,367.5949,756.0583,-35.3062
left,4.8721,8,356.171,761.2536,-35.5132
left,4.9063,8,336.5497,723.5833,-37.5827
left,4.9406,8,382.2814,750.6349,-51.9835
left,4.9733,8,375.251,762.9865,-46.764
left,5.6737,8,532.2238,696.1007,-86.9794
left,9.2795,8,806.0481,655.5294,-160.7778
left,9.3204,8,787.8643,645.1765,-168.0935
left,9.3605,8,762.7506,637.5516,-211.346
left,9.4019,8,741.9239,636.2371,-171.2842
left,9.4445,8,728.2023,635.446,-132.4599
left,9.4846,8,713.3823,636.2981,-104.0206
left,9.5253,8,704.2429,643.5452,-87.9243
left,9.5829,8,695.5369,665.7746,-67.9168
left,9.6149,8,687.9983,688.24,-82.6875
left,9.6472,8,689.7974,696.6434,-73.8904
left,9.6876,8,698.1849,703.7966,-76.6162
left,9.7171,8,706.0448,708.1395,-89.734
left,9.7473,8,711.5965,705.7716,-84.3803
left,9.8813,8,713.4357,703.101,-93.0435
left,9.9223,8,712.5181,705.7132,-97.0578
left,9.9629,8,713.6168,707.112,-87.8894
